2,DatUrtlesquad,TENRA90#6804799,0.968,20,125,446,0.59
2,DatUrtlesquad,Bangarang#3248123,2.125,23,128,505,1.3
2,Dirty mike and the boys,AstroKrUnk,4.12,20,100,864,2.49
2,Dirty mike and the boys,NacMoofey#2087335,1.698413,20,126,831,1.12
2,Dirty mike and the boys,DScoles51,1.79562,15,137,709,0.86
4,DKBGS,ARHUNT92#1007204,1.483051,19,118,1119,0.76
4,DKBGS,3rrone0us#2232296,0.806202,18,129,941,0.66
4,DKBGS,SL33PYM3XICAN#3870789,2.217054,19,129,2060,1.23
3,DRIP Gaming,YungRyann#2411161,1.783333,20,120,304,1.18
3,DRIP Gaming,SOUL#4887810,2.114504,22,131,1010,1.37
3,DRIP Gaming,mpg_drip#3684256,2.558824,25,102,505,1.53
4,Electric Pow Wow,VagueAlias#3727868,1.288288,24,111,555,0.72
4,Electric Pow Wow,Cazador#8699777,2.035398,19,113,570,1.25
4,Electric Pow Wow,BranWagon#5098054,1.878049,20,123,834,1.11
1,EPICx,Epicx#1042777,4.57,18,100,391,1.77
1,EPICx,opnicuh#2104882,3.16,25,100,515,1.28
1,EPICx,Mike litoris#3119544,2.47,18,100,205,1.1
4,ETS,Dirty_Viking_17_#4514969,1.291339,20,127,399,0.78
4,ETS,Shdbell15,1.259615,22,104,210,0.7
4,ETS,CuddleBunny0#6165607,2.358491,24,106,261,1.1
5,ETS 2.0,FLICKN_BOOGERS#5415517,1.7,24,100,74,0.83
5,ETS 2.0,FEETUSMCYEETUS#1261738,1.017857,29,112,199,1.33
5,ETS 2.0,John-wick#7400999,1.457143,22,105,176,1.18
3,FG=z,c0rk3_0#4329007,2.51,36,100,739,1.01
3,FG=z,ThaCrazyCanuckEh#8576174,2.508475,31,118,937,1.13
3,FG=z,teabager420,1.565217,19,138,924,1.16
3,furzy,Dartmouth18#7371213,1.691667,17,120,476,0.89
3,furzy,Bluewaffle#6683175,1.683824,20,136,1588,1.04
3,furzy,Familarstranger#8157257,1.471429,20,140,753,0.91
4,Gamesters,ToxikplaYa420#7858436,1.47,53,100,2018,0.95
4,Gamesters,BoRn_Killer420#7999874,2.007576,19,132,1221,1.38
4,Gamesters,Phantomcylo#3832682,1.257143,22,140,412,0.82
3,h-TAHN STAY-DAHN,SoapyBurrito#9903861,2.872881,21,118,852,1.67
3,h-TAHN STAY-DAHN,eljheffE#8310365,2.168067,21,119,394,0.96
3,h-TAHN STAY-DAHN,Stickman15,1.395683,26,139,823,1.34
4,Halcon95 & the boYs,Nolemoney3#2624684,0.953125,24,128,1069,0.64
4,Halcon95 & the boYs,Halcon95#3025846,2.100719,21,139,1377,1.42
4,Halcon95 & the boYs,OHxMYxFELIZIE#2809938,1.8,27,140,1038,1.17
3,Hamburgers,LUrking292,2,32,131,"2,776",Free agent
3,Hamburgers,LilMeeks#6490761,1.94,23,44,337,Free agent
3,Hamburgers,Jdwall311#8982919,1.792857,35,140,603,Free agent
2,Here2die,JAR69000#8077354,2.9,22,100,993,1.26
2,Here2die,SKARJR98#2388220,1.899225,16,129,1721,1.2
2,Here2die,FAINTINGGOATZ6#3385732,1.838235,14,136,1037,0.98
2,HoesannE,Alfiew_1#9834885,2.12381,28,105,615,1.17
2,HoesannE,BenKenobi#9031545,2.747664,34,107,395,1.7
2,HoesannE,dankandbank#3577338,2.096774,25,124,799,1.14
4,Juggernots2k20,Og Saitama#6383415,2.378378,30,111,493,1.5
4,Juggernots2k20,Yaboihoopes#7438058,1.588235,22,136,614,1.1
4,Juggernots2k20,CanyUng#2698083,1.121429,19,140,189,0.73
4,Just some guys,Kiyanoken#6070203,2.031496,21,127,769,1.18
4,Just some guys,TheBuzz74#2095996,2.2,24,130,1195,1.21
4,Just some guys,IVIIV0#8027892,1.287879,25,132,426,1.1
2,KARNAGE CLAN,turboman#1141540,2.742857,20,140,1171,1.97
2,KARNAGE CLAN,sahsouh#5771100,2.383333,28,120,1508,1.52
2,KARNAGE CLAN,Apollo#7699690,2.841667,26,120,1477,1.98
3,Knuckeheads,JRilett,1.223881,17,134,472,0.88
3,Knuckeheads,Skillet1234,1.820144,13,139,991,1.17
3,Knuckeheads,Jesserilett,1.578571,13,140,1050,0.81
3,KrazySauce,Bg_ptak#4376113,2.2,41,100,688,0.64
3,KrazySauce,mr_puffalot#9391974,1.897059,28,136,1425,1.2
3,KrazySauce,Krazy_marek1#3414666,2.140351,24,114,239,1
4,LAZERED,Robbarreto,2.35,20,100,1165,1.36
4,LAZERED,xSE7ENX#2988158,1.820312,20,128,873,1.33
4,LAZERED,Elmacanon21#9541570,1.330357,26,112,727,0.82
4,lesgondoles,AlexvQc1994#4208823,1.88,21,125,765,0.89
4,lesgondoles,dual101#5393752,1.503704,21,135,495,0.98
4,lesgondoles,JetBirdbox#5738211,1.085714,18,140,307,0.67
5,LI4E,Jas4595,1.062992,27,127,509,0.66
5,LI4E,mr_logical#5632368,1.481203,20,133,981,0.76
5,LI4E,Deathnote2300#8082535,1.623188,19,138,1707,0.93
3,Makin Dreamz Come True Gaming,Glockdition1,1.563107,20,103,457,0.76
3,Makin Dreamz Come True Gaming,TheWanderer#5054307,2.259615,24,104,434,1.03
3,Makin Dreamz Come True Gaming,Decree#5253604,2.447619,22,105,710,1.42
5,McDonalds,Santrroishere#7378690,1.407407,46,135,397,Free agent
5,McDonalds,Metalplettl66#1197734,1.3,59,9,"1,013",Free agent
5,McDonalds,Beef Stromboli#5177151,1.295918,54,98,432,Free agent
5,OG SQUAD,Jmurfs,0.976,24,125,1092,0.72
5,OG SQUAD,Sendit#9076661,1.072464,21,138,874,0.7
5,OG SQUAD,DrBank420#2911136,1.539568,18,139,266,1.01
1,Panda patrol,Happypanda#4580700,4.210526,18,114,3911,1.91
1,Panda patrol,Psuedopanda#1341076,1.396552,18,116,3225,0.58
1,Panda patrol,Pissd0ffPanda,2.970149,16,134,1650,1.84
1,Pgn gaming network,PGNxNukem#6863196,3.40458,14,131,1978,1.72
1,Pgn gaming network,kingray#5544557,2.935714,17,140,1362,2.03
1,Pgn gaming network,PGNDarKxImmortaL#1582578,2.335714,14,140,1893,1.38
3,Pms,Acez0023#6870983,1.63,27,100,439,0.72
3,Pms,SuckMyBean#5185874,1.84,22,100,527,0.79
3,Pms,Steel#2654928,2.32,25,100,737,1.11
4,Pup29,Ghost3869#7418231,1.99,26,100,731,0.82
4,Pup29,Yss-up420#8113280,1.9,41,100,510,0.81
4,Pup29,LOadedLEAD,1.64,29,100,793,1.26
2,Qc-Ca fr/Ang Quebec Clan (Qbeca),Jarvis#2669107,2.21,23,100,298,1.12
2,Qc-Ca fr/Ang Quebec Clan (Qbeca),Firefighter#4971450,2.31,28,100,678,1.1
2,Qc-Ca fr/Ang Quebec Clan (Qbeca),Mynameiskael_642#9709095,3.05,32,100,1002,1.15
4,Raging Zoom,RawTing#8335486,1.311927,26,109,935,0.68
4,Raging Zoom,Vinay727#7895466,1.955357,24,112,1999,0.76
4,Raging Zoom,Thorodan#7723905,1.647059,25,119,347,1.29
3,RawDog,Chubbypanda00#5359538,2.215517,23,116,1085,1.09
3,RawDog,Weezycuz21#7266931,1.911765,21,136,1200,1.48
3,RawDog,Drano1356#5977727,1.781513,22,119,1786,1.07
5,Red31,PapiLeather#1283509,0.641221,16,131,565,0.34
5,Red31,Reese_Deniro216#3431145,0.785714,15,140,706,0.58
5,Red31,Blue_Cristalz7#6292517,0.585714,17,140,713,0.39
3,Replay Mode,jerry#1875942,2.227941,21,136,598,1.17
3,Replay Mode,Austin#6313183,1.897059,14,136,402,0.96
3,Replay Mode,Dave#5550403,1.046154,20,130,640,0.75
5,Ripper & The Boner Boiz,Dong_ripper#6456561,1.290323,24,124,1398,0.61
5,Ripper & The Boner Boiz,OLDB3N,1.11194,17,134,351,0.93
5,Ripper & The Boner Boiz,Alreadydead#5067906,1.977778,21,135,576,1.58
1,Rubber ducks,iHeapyy,3.99187,14,123,1142,2.09
1,Rubber ducks,DrMcDoland#8098438,3.296296,13,135,556,2.14
1,Rubber ducks,Male_5_8_150lbs#8040262,3.718519,11,135,842,2
1,Skeet productions,BanginOPP#4395022,3.057692,22,104,1053,1.52
1,Skeet productions,Vegeta#7105851,2.615942,14,138,1153,1.51
1,Skeet productions,Scoped iiin3#6636676,2.695652,16,138,2393,1.71
5,Smurf Gaming,TOMINATER#7098527,1.166667,27,114,215,0.77
5,Smurf Gaming,Smurfman30#7590719,0.897436,32,117,813,0.8
5,Smurf Gaming,DasMunichMike#8203993,1.007353,27,136,388,1.01
5,SNAX,Favreforever04,1.343284,20,134,845,1.2
5,SNAX,killingmofo,1.078571,18,140,822,0.81
5,SNAX,RealRayFinkle#7181613,0.992857,21,140,1290,0.77
2,Special forces,Javimoren18#3988099,2.119048,21,126,701,1.07
2,Special forces,phon#4685273,2.25,32,104,943,0.97
2,Special forces,Plata_theripper#7881097,2.815534,21,103,3457,1
3,stinglikestartea,Stinglikeabhiii#6115790,2.08,30,100,559,0.74
3,stinglikestartea,starokadir#1613363,2.56,29,100,154,1.12
3,stinglikestartea,Teajae#2060018,1.722222,22,126,1450,1.13
4,SUCEJuICE,-SPAR-#1604077,2.185714,13,140,2194,1.28
4,SUCEJuICE,TONYYANKS2326#4308686,1.785047,33,107,1615,0.98
4,SUCEJuICE,Frankbean#8102767,1.242647,40,136,1540,0.77
4,Sweet Potatoes,theonlyliltorch#1871562,1.735294,28,170,503,Free agent
4,Sweet Potatoes,ttvDeath24768686#7469786,1.694915,49,177,410,Free agent
4,Sweet Potatoes,Ryhawks317,1.48,65,13,200,Free agent
3,Team Crimson Divison,WhiteCheddarr97#1835980,2.094203,19,138,1205,1.32
3,Team Crimson Divison,f00li0#6905531,1.57971,16,138,1377,0.95
3,Team Crimson Divison,Musicks#2597703,1.664286,18,140,987,1.19
3,Team Delish,deliciousroll#4194346,2.089552,30,134,477,1.43
3,Team Delish,Deliciouswing#2895141,1.877698,27,139,260,1.35
3,Team Delish,BleVinsnk#6898351,2.223022,24,139,367,1.17
2,Team Phanatic Lymph,Phanatic24#5993807,2.20339,23,118,345,1.01
2,Team Phanatic Lymph,TeamT0ky0,1.8,13,140,695,1.53
2,Team Phanatic Lymph,NKLymphocyte#6699197,1.935714,12,140,758,1.19
5,Team Q433M,Tictoc54321#1501135,0.646552,40,116,296,0.41
5,Team Q433M,AMG_026#6181235,0.76087,26,138,549,0.67
5,Team Q433M,PROFIS33,1.185714,22,140,478,0.95
4,Team Supa,Foxy#3953879,1.57,29,100,88,0.85
4,Team Supa,GONEINSANE972#4781990,1.271186,36,118,231,1.01
4,Team Supa,khalif#4577009,2.374101,20,139,153,1.38
4,team wipe,UberKusH#1217321,2.18,22,100,808,0.91
4,team wipe,RYAN507430_13879#1618782,1.44,23,100,272,0.63
4,team wipe,REDLEGXRAY#2600209,1.193548,23,124,533,0.94
3,The 605,HERNDON22#1395176,1.521739,17,138,1369,0.9
3,The 605,ROBLO471#7419155,1.550725,21,138,876,1.13
3,The 605,Isaacs11b#4254021,1.782946,21,129,557,1.11
2,The autobots,Scarlit scandal_#8888452,1.837037,21,135,1261,1.2
2,The autobots,Shunsui Kyoraku#2009032,1.95,16,140,468,1.55
2,The autobots,Prime#1208583,3.371429,15,140,941,1.92
4,The colds,BlackPlague#7488610,1.847458,31,118,124,0.98
4,The colds,JustDaniel#8336670,2.033613,19,119,104,0.87
4,The colds,Chilly117YT#1446208,1.470149,30,134,428,1.07
1,The Funky Bunch,Markymark163#8056344,3.291971,16,137,483,1.96
1,The Funky Bunch,COD Nematoad#9399932,2.20354,29,113,598,1.38
1,The Funky Bunch,DoUblejuicy00#4220762,4.123188,15,138,1013,2.86
2,The Maneaters,codyjohnson#2188762,2.914729,19,129,586,1.21
2,The Maneaters,Hunterfire716#9859208,1.863636,23,132,1182,1.11
2,The Maneaters,Maneaterfb#2691324,1.905797,13,138,2043,1.04
5,The Mouthbreathers,Gpow#9222326,1.46,42,100,403,0.76
5,The Mouthbreathers,Timmy#7906218,2/31,53,100,915,0.79
5,The Mouthbreathers,Harry#9691105,1.663717,31,113,509,1.1
2,The Squad,PGNblue clamz#9455437,3.086207,15,116,556,1.58
2,The Squad,CJR#7341827,2.620438,22,137,756,1.65
2,The Squad,PGN-SpaZ#2988786,2.28777,14,139,839,1.22
1,the wolf pack,Dirty Mr kitty#3513259,3.224299,19,107,1102,1.65
1,the wolf pack,Fluffycalf4637#6225585,3.036496,13,137,675,2.12
1,the wolf pack,ChaMpz x 24#8473137,2.427536,13,138,1283,1.44
2,Those Guys,EnderFaid#4799485,2.32,32,100,400,1.19
2,Those Guys,Brad Pitt#9075835,1.984733,26,131,567,1.09
2,Those Guys,YNG x Duece#5784319,2.398551,21,138,829,1.55
2,Thundermonkeys,Enumthunder#5759034,4.61,26,100,346,1.79
2,Thundermonkeys,bananahammock#6798258,2.371212,19,132,994,1.46
